"country","year","hhid","grappe","menage","vague","zae","region","milieu","hhweight","hhsize","eqadu1","eqadu2","hgender","hage","hmstat","hreligion","hnation","halfab","heduc","hdiploma","hhandig","hactiv7j","hactiv12m","hbranch","hsectins","hcsp","dali","dnal","dtot","pcexp","zzae","zref","def_spa","def_temp"
"SEN",2018,427001,427,1,1,5,10,1,132.350662231445,12,9.41999995708466,6.42487049102783,1,68,2,1,7,0,1,0,1,5,3,,,,1711263.6920166,1674185.90863037,3385449.5,283327.21875,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427002,427,2,1,5,10,1,132.350662231445,10,8.02999997138977,5.24090766906738,1,57,3,1,7,0,1,0,0,5,3,,,,260800.694580078,497343.678466797,758144.375,76138.640625,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427003,427,3,1,5,10,1,132.350662231445,4,3.64999997615814,2.44471025466919,1,45,2,2,7,1,3,0,0,1,1,11,2,5,2091287.56469727,371425.121704102,2462712.75,618311,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427004,427,4,1,5,10,1,132.350662231445,7,5.74999994039536,3.79408812522888,2,45,3,1,7,1,1,0,0,1,1,10,3,9,2472157.48901367,1183682.17932129,3655839.75,524496.1875,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427005,427,5,1,5,10,1,132.350662231445,10,7.82999992370605,5.24090766906738,1,47,3,1,7,0,1,0,0,1,1,10,3,9,2236076.92150879,2132202.55322266,4368279.5,438695.9375,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427006,427,6,1,5,10,1,132.350662231445,9,6.93000000715256,5.0157527923584,1,59,3,1,7,0,1,0,0,5,3,,,,3603674.77050781,1509250.31164551,5112925,570532.125,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427007,427,7,1,5,10,1,132.350662231445,5,3.93000000715256,2.84862303733826,1,40,2,2,7,1,1,0,0,1,1,11,2,5,2028654.4552002,1145451.39637756,3174105.75,637535.8125,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427008,427,8,1,5,10,1,132.350662231445,5,3.69999998807907,3.3251039981842,2,57,2,1,7,0,1,0,0,5,3,,,,1665655.69238281,723306.963653564,2388962.75,479835.75,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427009,427,9,1,5,10,1,132.350662231445,8,5.0799999833107,4.18000173568726,2,78,5,1,7,0,1,0,0,5,3,,,,2501031.60705566,959658.648498535,3460690.25,434436.15625,332020.6875,333440.5,0.995741903781891,1.01466369628906
"SEN",2018,427010,427,10,1,5,10,1,132.350662231445,8,6.61999994516373,4.18000173568726,1,46,2,1,7,1,8,7,0,1,1,9,1,1,3350256.31787109,2302045.84463501,5652302,709559.125,332020.6875,333440.5,0.995741903781891,1.01466369628906
