"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",10010,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",10011,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",10012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",11001,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",11002,4,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",11003,3,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",11004,4,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",11005,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",11006,3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",11007,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,0
"SEN",11008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",11009,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",11010,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,2,0,0,0,1,0,0,0,0,0
"SEN",11011,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",11012,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12003,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",12004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",12005,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12006,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12007,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12009,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0
"SEN",12010,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",12011,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,5,0,0,0,0,0,0,0,0,0
"SEN",12012,3,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13001,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13003,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,1,0,0
"SEN",13004,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13005,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13006,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",13007,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",13008,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13009,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",13010,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,2,0,0,0,0,0,0,0,0,0
