"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
2,598,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,17,11,1,4,,,4,,,1,6800,,4,,,4,,,4,,,4,,
2,441,1,1,1,1000,,4,,,4,,,4,,,4,,,4,,,4,,
2,526,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,176,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,553,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,188,1,1,4,,,1,7500,,1,3500,,4,,,4,,,4,,,4,,
1,339,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,362,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,598,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,460,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,394,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,324,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,474,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,442,12,1,4,,,4,,,4,,,1,500,,1,1300,,1,1000,,4,,
2,382,1,1,4,,,2,,3500,4,,,4,,,4,,,4,,,4,,
2,412,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,294,1,2,4,,,2,,6500,2,,3000,4,,,4,,,4,,,4,,
2,172,1,2,1,600,,4,,,4,,,4,,,4,,,4,,,4,,
1,518,5,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,207,1,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,136,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,382,2,9,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,254,1,1,1,2800,,4,,,4,,,1,600,,4,,,4,,,4,,
2,216,1,18,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,161,5,5,4,,,4,,,2,,8400,1,350,,4,,,4,,,4,,
1,112,11,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,133,5,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,225,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,389,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,238,1,1,2,,1000,2,,2800,2,,2100,4,,,4,,,4,,,4,,
2,82,1,2,4,,,4,,,1,7500,,4,,,4,,,4,,,4,,
1,554,1,1,1,1750,,4,,,4,,,4,,,4,,,4,,,4,,
2,575,1,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,203,1,2,4,,,4,,,1,2100,,4,,,4,,,4,,,4,,
1,242,7,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,239,5,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,486,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,369,1,1,4,,,4,,,1,6000,,4,,,4,,,4,,,4,,
2,306,1,1,4,,,4,,,1,2500,,1,3320,,4,,,4,,,4,,
1,565,10,1,1,10500,,4,,,4,,,4,,,4,,,4,,,4,,
2,136,2,2,4,,,4,,,1,3000,,4,,,4,,,4,,,4,,
2,417,1,4,1,700,,2,,3000,2,,3500,4,,,4,,,4,,,4,,
