"hh_id","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories"
"1_59_10",202.137084989848,22.8994949366117,28.5918830920368,96.8467170879757,22.8994949366117,"Afric Azote",87.618795026618,87.618795026618
"2_292_2",248.053823869163,185.79393923934,139.852813742386,101.053823869162,101.053823869162,"Omega Fishing",168.688600180013,168.688600180013
"2_380_1",54.5979797464466,201.249783362056,170.521861300698,216.40916292849,54.5979797464466,"Sea Production",160.694696834423,160.694696834423
"2_276_1",276.681240867132,217.592929112563,171.651803615609,132.852813742386,132.852813742386,"Omega Fishing",199.694696834423,199.694696834423
"1_491_6",270.279220613579,235.107647738325,190.137084989848,151.539105243401,151.539105243401,"Omega Fishing",211.765764646288,211.765764646288
"1_377_7",93.1248916810278,213.835569799683,178.42135623731,210.249783362056,93.1248916810278,"Sea Production",173.907900270019,173.907900270019
"2_598_2",485.0609665441,426.45793616377,380.516810666816,341.717820793592,341.717820793592,"Omega Fishing",408.43838354207,408.43838354207
"1_597_3",488.81832585698,430.215295476651,384.274169979696,345.475180106473,345.475180106473,"Omega Fishing",412.19574285495,412.19574285495
"2_391_1",218.589357775095,168.388347648318,123.417784899841,104.90306627408,104.90306627408,"Omega Fishing",153.824639149334,153.824639149334
"2_176_1",114.78174593052,314.0609665441,283.333044482742,328.634559672907,114.78174593052,"Sea Production",260.202579157567,260.202579157567
"2_492_1",270.279220613579,235.107647738325,190.137084989848,151.539105243401,151.539105243401,"Omega Fishing",211.765764646288,211.765764646288
"2_188_1",258.066017177983,415.771644662755,379.185858225128,394.85490578344,258.066017177983,"Sea Production",361.969606462327,361.969606462327
"1_468_4",328.793939239341,473.972654789532,437.386868351905,448.71277015971,328.793939239341,"Sea Production",422.216558135122,422.216558135122
"2_460_1",362.492424049176,476.132034355965,437.404112294607,428.972654789531,362.492424049176,"Sea Production",426.25030637232,426.25030637232
"2_577_1",405.663996924429,347.0609665441,301.119841047145,262.320851173922,262.320851173922,"Omega Fishing",329.041413922399,329.041413922399
"1_339_12",122.370057685089,166.352813742386,129.767027304759,166.28174593052,122.370057685089,"Sea Production",146.192911165688,146.192911165688
"2_403_1",294.823376490863,230.208152801713,184.267027304759,143.811183182043,143.811183182043,"Omega Fishing",213.277434944845,213.277434944845
"1_442_12",482.884343034963,452.742207411232,407.771644662755,369.173664916308,369.173664916308,"Omega Fishing",428.142965006315,428.142965006315
"1_394_10",262.639610306789,148.373629022557,103.225396744416,30.9705627484771,30.9705627484771,"Omega Fishing",136.30229970556,136.30229970556
"2_464_1",352.785317267989,489.780266634106,453.19448019648,463.934595566658,352.785317267989,"Sea Production",439.923664916308,439.923664916308
"2_80_1",207.601551083915,24.642135623731,35.2279220613579,103.725396744416,24.642135623731,"Afric Azote",92.799251378355,92.799251378355
"2_155_1",169.195959492893,174.325901807805,133.254833995939,131.16652224137,131.16652224137,"Omega Fishing",151.985804384502,151.985804384502
"1_474_1",369.320851173922,482.132034355965,443.404112294607,434.972654789531,369.320851173922,"Sea Production",432.457413153506,432.457413153506
"2_598_1",485.0609665441,426.45793616377,380.516810666816,341.717820793592,341.717820793592,"Omega Fishing",408.43838354207,408.43838354207
"2_270_1",281.267027304759,219.592929112564,173.651803615609,134.852813742386,134.852813742386,"Omega Fishing",202.341143443829,202.341143443829
"2_274_1",266.852813742386,211.521861300698,165.580735803744,126.78174593052,126.78174593052,"Omega Fishing",192.684289194337,192.684289194337
"2_324_1",168.953318805774,69.698484809835,29.7989898732233,83.6274169979695,29.7989898732233,"Africa Feed",88.0195526217004,88.0195526217004
"1_362_3",169.539105243401,314.575685169861,277.989898732234,298.102597104442,169.539105243401,"Sea Production",265.051821562485,265.051821562485
"1_275_10",281.40916292849,229.249783362056,183.308657865102,144.509667991878,144.509667991878,"Omega Fishing",209.619318036882,209.619318036882
"2_526_1",282.291413922399,260.107647738325,215.137084989848,179.852813742386,179.852813742386,"Omega Fishing",234.347240098239,234.347240098239
"2_441_1",482.055915910217,451.913780286486,406.943217538009,368.345237791562,368.345237791562,"Omega Fishing",427.314537881568,427.314537881568
"1_17_11",219.086832458154,9.53553390593274,45.5416305603426,113.796464556282,9.53553390593274,"Afric Azote",96.9901153701778,96.9901153701778
"2_294_1",216.296464556282,178.681240867132,133.710678118655,101.740115370178,101.740115370178,"Omega Fishing",157.607124728062,157.607124728062
"1_133_5",177.01219330882,140.911688245431,99.0121933088197,90.2964645562816,90.2964645562816,"Omega Fishing",126.808134854838,126.808134854838
"2_172_1",202.950793488833,234.139610306789,193.068542494924,185.808657865102,185.808657865102,"Omega Fishing",203.991901038912,203.991901038912
"2_136_1",175.426406871193,143.911688245431,102.01219330882,94.1248916810278,94.1248916810278,"Omega Fishing",128.868795026618,128.868795026618
"1_565_10",452.563491861041,393.960461480712,348.019335983757,309.220346110534,309.220346110534,"Omega Fishing",375.940908859011,375.940908859011
"2_225_1",428.499566724113,438.475180106473,393.504617357996,354.906637611549,354.906637611549,"Omega Fishing",403.846500450033,403.846500450033
"1_239_5",449.47012947259,459.44574285495,414.475180106473,375.877200360026,375.877200360026,"Omega Fishing",424.81706319851,424.81706319851
"2_254_1",243.639610306789,181.965512114594,136.024386617639,97.2253967444161,97.2253967444161,"Omega Fishing",164.71372644586,164.71372644586
